libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
technicien / technicienne prototypiste en agroéquipement;http://www.onisep.fr/http/redirection/metier/identifiant/100819;Les métiers de l'automobile;Parcours;2020;9782273015172;F : Mécanique;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"mécanique/machinisme agricole ; mécanique/mécanique (généralités)"
responsable d'élevage agricole;http://www.onisep.fr/http/redirection/metier/identifiant/100971;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1407;Élevage bovin ou équin;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1407;"agriculture, animaux/agriculture (généralités) ; agriculture, animaux/élevage - aquaculture"
technicien / technicienne en traitement des matériaux;http://www.onisep.fr/http/redirection/metier/identifiant/101041;Les métiers de l'industrie aéronautique et spatiale;Parcours;2017;9782273013284;J : Transformation des matériaux, procédés (biologie, chimie, physique);;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"mécanique/travail des métaux ; sciences/chimie ; sciences/physique"
géologue minier / minière;http://www.onisep.fr/http/redirection/metier/identifiant/100540;;Fiches métiers / onisep.fr;;;T : Environnement, nettoyage, sécurité;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;sciences/sciences de la Terre
ingénieur analogicien / ingénieure analogicienne;http://www.onisep.fr/http/redirection/metier/identifiant/100558;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"électricité - électronique - robotique/électronique ; informatique, internet/développement - programmation -  logiciel"
ingénieur / ingénieure systèmes embarqués;http://www.onisep.fr/http/redirection/metier/identifiant/100560;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"électricité - électronique - robotique/électronique ; électricité - électronique - robotique/télécommunications ; informatique, internet/développement - programmation -  logiciel"
responsable du soutien logistique intégré;http://www.onisep.fr/http/redirection/metier/identifiant/100561;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;H1401;Management et ingénierie gestion industrielle et logistique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1401;"électricité - électronique - robotique/électronique ; logistique - transport/logistique"
ingénieur / ingénieure chimiste en développement analytique;http://www.onisep.fr/http/redirection/metier/identifiant/100570;Les métiers de la chimie;Parcours;2016;9782273012867;J : Transformation des matériaux, procédés (biologie, chimie, physique);H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;sciences/chimie
chargé / chargée d'affaires en génie mécanique;http://www.onisep.fr/http/redirection/metier/identifiant/100575;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;F : Mécanique;H1102;Management et ingénierie d'affaires;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1102;mécanique/mécanique (généralités)
chargé / chargée de recherche et développement déchets;http://www.onisep.fr/http/redirection/metier/identifiant/100593;Les métiers de la chimie;Parcours;2016;9782273012867;T : Environnement, nettoyage, sécurité;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;environnement - énergies - propreté/déchets, pollutions et risques
microbiologiste;http://www.onisep.fr/http/redirection/metier/identifiant/100624;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;K2402;Recherche en sciences de l'univers, de la matière et du vivant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;sciences/biologie
traffic manager;http://www.onisep.fr/http/redirection/metier/identifiant/100644;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;U : Communication, médias;E1402;Élaboration de plan média;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402;commerce, marketing, vente/marketing - vente
consultant / consultante SaaS;http://www.onisep.fr/http/redirection/metier/identifiant/100678;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1806;Conseil et maîtrise d'ouvrage en systèmes d'information;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1806;informatique, internet/informatique (généralités)
concepteur/trice designer packaging;http://www.onisep.fr/http/redirection/metier/identifiant/100965;Les métiers du design;Parcours;2019;9782273014595;O : Transport, logistique;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;arts, culture, artisanat/arts graphiques
aide-chimiste;http://www.onisep.fr/http/redirection/metier/identifiant/101048;Les métiers de l'industrie du médicament;Zoom sur les métiers;2017;9782273013642;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1503;Intervention technique en laboratoire d'analyse industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;sciences/chimie
chargé / chargée de projet événementiel;http://www.onisep.fr/http/redirection/metier/identifiant/100536;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1103;Communication;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;information-communication, audiovisuel/communication
hydrogéologue;http://www.onisep.fr/http/redirection/metier/identifiant/100541;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;F1105;Études géologiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1105;sciences/sciences de la Terre
ingénieur / ingénieure chimiste en développement analytique;http://www.onisep.fr/http/redirection/metier/identifiant/100570;Les métiers de l'énergie;Parcours;2016;9782273012812;J : Transformation des matériaux, procédés (biologie, chimie, physique);H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;sciences/chimie
ingénieur / ingénieure analyste de l'air;http://www.onisep.fr/http/redirection/metier/identifiant/100585;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;H1501;Direction de laboratoire d'analyse industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1501;"environnement - énergies - propreté/déchets, pollutions et risques ; environnement - énergies - propreté/environnement (généralités) ; sciences/chimie"
ingénieur / ingénieure fluides, énergies, réseaux, environnement;http://www.onisep.fr/http/redirection/metier/identifiant/100594;Les métiers de l'énergie;Parcours;2016;9782273012812;T : Environnement, nettoyage, sécurité;K2306;Supervision d'exploitation éco-industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2306;"environnement - énergies - propreté/énergies ; environnement - énergies - propreté/environnement (généralités) ; sciences/physique"
ingénieur / ingénieure de la police technique et scientifique;http://www.onisep.fr/http/redirection/metier/identifiant/100630;Les métiers de la sécurité;Parcours;2016;9782273012850;T : Environnement, nettoyage, sécurité;K2402;Recherche en sciences de l'univers, de la matière et du vivant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"armée, sécurité/sécurité prévention ; informatique, internet/informatique (généralités) ; sciences/biologie ; sciences/chimie"
yield manager;http://www.onisep.fr/http/redirection/metier/identifiant/100638;;Fiches métiers / onisep.fr;;;Q : Commerce, gestion, finances;G1302;Optimisation de produits touristiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1302;commerce, marketing, vente/marketing - vente
économètre statisticien / statisticienne;http://www.onisep.fr/http/redirection/metier/identifiant/100671;Les métiers des mathématiques et de l'informatique;Zoom sur les métiers;2015;9782273012652;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1403;Études et prospectives socio-économiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403;"économie - droit - politique/sciences économiques ; sciences/mathématiques"
ingénieur / ingénieure logiciel;http://www.onisep.fr/http/redirection/metier/identifiant/100675;Les métiers de l'informatique;Parcours;2017;9782273013291;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1805;Études et développement informatique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;informatique, internet/développement - programmation -  logiciel
inséminateur / inséminatrice;http://www.onisep.fr/http/redirection/metier/identifiant/100687;Les métiers auprès des animaux;Parcours;2019;9782273014588;A : Agriculture;A1303;Ingénierie en agriculture et environnement naturel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"agriculture, animaux/élevage - aquaculture ; agriculture, animaux/soins aux animaux"
médecin de secours en montagne;http://www.onisep.fr/http/redirection/metier/identifiant/100692;Les métiers de la montagne;Parcours;2018;9782273013925;R : Santé, social, soins personnels;J1102;Médecine généraliste et spécialisée;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102;santé - social - sport/médical
critique d'art;http://www.onisep.fr/http/redirection/metier/identifiant/100696;Les études d'art;Dossiers;2018;9782273014052;U : Communication, médias;E1106;Journalisme et information média;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106;"arts, culture, artisanat/arts plastiques ; arts, culture, artisanat/histoire de l'art ; histoire/géographie, psychologie, sociologie/histoire"
nivoculteur / nivocultrice;http://www.onisep.fr/http/redirection/metier/identifiant/100704;Les métiers de la montagne;Parcours;2018;9782273013925;J : Transformation des matériaux, procédés (biologie, chimie, physique);I1304;Installation et maintenance d'équipements industriels et d'exploitation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=I1304;"matières premières, fabrication, industries/matériaux ; sciences/physique"
community manager;http://www.onisep.fr/http/redirection/metier/identifiant/100712;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1101;Animation de site multimédia;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1101;"commerce, marketing, vente/marketing - vente ; information-communication, audiovisuel/communication"
chef / cheffe de projet communication digitale;http://www.onisep.fr/http/redirection/metier/identifiant/100714;Les métiers du web;Parcours;2015;9782273012270;U : Communication, médias;E1103;Communication;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1103;commerce, marketing, vente/marketing - vente
"ingénieur / ingénieure recherche et développement (R&amp;D) en agroéquipement";http://www.onisep.fr/http/redirection/metier/identifiant/100821;Les métiers de la mécanique;Parcours;2014;9782273012027;F : Mécanique;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;"mécanique/machinisme agricole ; mécanique/mécanique (généralités)"
ingénieur / ingénieure logistique;http://www.onisep.fr/http/redirection/metier/identifiant/100894;Les métiers du transport routier et de la logistique;Zoom sur les métiers;2018;9782273013659;O : Transport, logistique;N1301;Conception et organisation de la chaîne logistique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1301;logistique - transport/logistique
employé/e d'élevage;http://www.onisep.fr/http/redirection/metier/identifiant/100911;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1407;Élevage bovin ou équin;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1407;agriculture, animaux/élevage - aquaculture
réflexologue;http://www.onisep.fr/http/redirection/metier/identifiant/101054;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;K1103;Développement personnel et bien-être de la personne;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1103;sciences/biologie
conducteur / conductrice de machines à imprimer;http://www.onisep.fr/http/redirection/metier/identifiant/10007;Les métiers du livre;Parcours;2017;9782273013260;N : Techniques graphiques, impression;E1301;Conduite de machines d'impression;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1301;"information-communication, audiovisuel/industries graphiques ; matières premières, fabrication, industries/fabrication - productique ; mécanique/automatismes"
couvreur / couvreuse;http://www.onisep.fr/http/redirection/metier/identifiant/10022;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1610;Pose et restauration de couvertures;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1610;"construction - architecture - travaux publics/charpente, couverture ; construction - architecture - travaux publics/génie civil, construction (généralités)"
chargé / chargée d'études en marketing;http://www.onisep.fr/http/redirection/metier/identifiant/10062;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;Q : Commerce, gestion, finances;M1403;Études et prospectives socio-économiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403;"commerce, marketing, vente/marketing - vente ; information-communication, audiovisuel/journalisme - édition - publicité"
marchandiseur / marchandiseuse;http://www.onisep.fr/http/redirection/metier/identifiant/10064;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;Q : Commerce, gestion, finances;D1506;Marchandisage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1506;"commerce, marketing, vente/grande distribution et petits commerces ; commerce, marketing, vente/marketing - vente"
ingénieur technico-commercial / ingénieure technico-commerciale;http://www.onisep.fr/http/redirection/metier/identifiant/10066;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;Q : Commerce, gestion, finances;D1407;Relation technico-commerciale;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407;"commerce, marketing, vente/grande distribution et petits commerces ; commerce, marketing, vente/marketing - vente"
attaché commercial / attachée commerciale;http://www.onisep.fr/http/redirection/metier/identifiant/10067;Les métiers de l'automobile;Parcours;2020;9782273015172;Q : Commerce, gestion, finances;D1402;Relation commerciale grands comptes et entreprises;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1402;commerce, marketing, vente/grande distribution et petits commerces
vendeur / vendeuse en magasin;http://www.onisep.fr/http/redirection/metier/identifiant/10071;Les métiers du commerce et de la distribution;Zoom sur les métiers;2016;9782273012768;Q : Commerce, gestion, finances;D1106;Vente en alimentation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1106;"commerce, marketing, vente/grande distribution et petits commerces ; commerce, marketing, vente/marketing - vente"
actuaire;http://www.onisep.fr/http/redirection/metier/identifiant/10084;Les métiers de la banque, de la finance et de l'assurance;Parcours;2016;9782273012829;Q : Commerce, gestion, finances;C1105;Études actuarielles en assurances;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque - assurances - immobilier/assurances ; sciences/mathématiques"
chargé / chargée de clientèle banque;http://www.onisep.fr/http/redirection/metier/identifiant/10094;Les métiers de la banque;Pourquoi pas moi ?;2014;9782273012249;Q : Commerce, gestion, finances;C1206;Gestion de clientèle bancaire;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1206;"banque - assurances - immobilier/banque ; commerce, marketing, vente/marketing - vente"
conducteur / conductrice de train;http://www.onisep.fr/http/redirection/metier/identifiant/10117;Les métiers du ferroviaire;Zoom sur les métiers;2017;9782273013598;O : Transport, logistique;N4301;Conduite sur rails;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4301;logistique - transport/transport
technicien forestier / technicienne forestière;http://www.onisep.fr/http/redirection/metier/identifiant/10123;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1301;Conseil et assistance technique en agriculture;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1301;agriculture, animaux/forêt
designer graphique;http://www.onisep.fr/http/redirection/metier/identifiant/10164;Les métiers de la Grande Ecole du Numérique;Zoom sur les métiers;2019;9782273014854;N : Techniques graphiques, impression;E1205;Réalisation de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/industries graphiques"
photographe;http://www.onisep.fr/http/redirection/metier/identifiant/10182;Les études d'art;Dossiers;2018;9782273014052;U : Communication, médias;E1201;Photographie;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1201;information-communication, audiovisuel/audiovisuel
acheteur / acheteuse d'espaces publicitaires;http://www.onisep.fr/http/redirection/metier/identifiant/10187;Les métiers du marketing et de la publicité;Parcours;2018;9782273013932;U : Communication, médias;E1402;Élaboration de plan média;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1402;"commerce, marketing, vente/marketing - vente ; information-communication, audiovisuel/journalisme - édition - publicité"
documentaliste;http://www.onisep.fr/http/redirection/metier/identifiant/10190;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;P : Gestion et traitement de l'information (informatique, statistique, documentation);K1601;Gestion de l'information et de la documentation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/bibliothèque - documentation ; information-communication, audiovisuel/technologies de l'information"
enseignant / enseignante d'art;http://www.onisep.fr/http/redirection/metier/identifiant/10207;Les études d'art;Dossiers;2018;9782273014052;W : Droit, enseignement, recherche en sciences humaines;K2105;Enseignement artistique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2105;"arts, culture, artisanat/arts plastiques ; lettres, langues - enseignement/enseignement"
aide-soignant / aide-soignante;http://www.onisep.fr/http/redirection/metier/identifiant/10224;Les métiers auprès des enfants;Parcours;2015;9782273012294;R : Santé, social, soins personnels;J1501;Soins d'hygiène, de confort du patient;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1501;santé - social - sport/paramédical
ambulancier / ambulancière;http://www.onisep.fr/http/redirection/metier/identifiant/10236;Les métiers du paramédical;Parcours;2017;9782273013314;R : Santé, social, soins personnels;J1305;Conduite de véhicules sanitaires;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1305;"logistique - transport/transport ; santé - social - sport/paramédical"
moniteur / monitrice de ski;http://www.onisep.fr/http/redirection/metier/identifiant/10256;Les métiers auprès des enfants;Parcours;2015;9782273012294;S : Hôtellerie, tourisme, loisirs;G1204;Éducation en activités sportives;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;santé - social - sport/sport
officier / officière de l'armée de l'air;http://www.onisep.fr/http/redirection/metier/identifiant/10271;Les métiers de la défense;Parcours;2016;9782273012362;T : Environnement, nettoyage, sécurité;K1703;Direction opérationnelle de la défense;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1703;"armée, sécurité/défense publique ; armée, sécurité/sécurité prévention ; logistique - transport/transport ; mécanique/aéronautique"
météorologiste;http://www.onisep.fr/http/redirection/metier/identifiant/10286;Les métiers de l'environnement et du développement durable;Parcours;2020;9782273015042;T : Environnement, nettoyage, sécurité;M1809;Information météorologique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1809;sciences/sciences de la Terre
psychologue;http://www.onisep.fr/http/redirection/metier/identifiant/10300;Les métiers du social;Parcours;2019;9782273014571;R : Santé, social, soins personnels;K1104;Psychologie;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1104;histoire/géographie, psychologie, sociologie/psychologie
technicien / technicienne qualité;http://www.onisep.fr/http/redirection/metier/identifiant/10321;Les métiers du livre;Parcours;2017;9782273013260;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1506;Intervention technique qualité en mécanique et travail des métaux;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1506;"matières premières, fabrication, industries/agroalimentaire ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/maintenance - qualité"
technicien / technicienne qualité;http://www.onisep.fr/http/redirection/metier/identifiant/10321;Les métiers des industries des papiers cartons;Zoom sur les métiers;2019;9782273014830;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1503;Intervention technique en laboratoire d'analyse industrielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1503;"matières premières, fabrication, industries/agroalimentaire ; matières premières, fabrication, industries/fabrication - productique ; matières premières, fabrication, industries/maintenance - qualité"
horloger / horlogère;http://www.onisep.fr/http/redirection/metier/identifiant/10367;;Fiches métiers / onisep.fr;;;F : Mécanique;H2909;Montage-assemblage mécanique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2909;"arts, culture, artisanat/artisanat d'art ; mécanique/mécanique (généralités)"
ingénieur électronicien / ingénieure électronicienne;http://www.onisep.fr/http/redirection/metier/identifiant/10377;Les métiers de l'électronique et de la robotique;Parcours;2015;9782273012317;H : Electricité, énergie, électronique;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;électricité - électronique - robotique/électronique
ingénieur / ingénieure en aéronautique;http://www.onisep.fr/http/redirection/metier/identifiant/10387;Les métiers de l'industrie aéronautique et spatiale;Parcours;2017;9782273013284;F : Mécanique;H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"mécanique/aéronautique ; mécanique/mécanique (généralités)"
responsable de scierie;http://www.onisep.fr/http/redirection/metier/identifiant/10400;Les métiers de la forêt et du bois;Zoom sur les métiers;2017;9782273013635;M : Travail du bois;H2204;Encadrement des industries de l'ameublement et du bois;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2204;matières premières, fabrication, industries/bois
ingénieur / ingénieure électricien / électricienne;http://www.onisep.fr/http/redirection/metier/identifiant/100246;Les métiers de l'énergie;Parcours;2016;9782273012812;H : Electricité, énergie, électronique;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"électricité - électronique - robotique/électrotechnique ; environnement - énergies - propreté/énergies"
chef / cheffe de rayon;http://www.onisep.fr/http/redirection/metier/identifiant/100270;Les métiers du commerce et de la vente;Parcours;2018;9782273013864;Q : Commerce, gestion, finances;D1503;Management/gestion de rayon produits non alimentaires;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1503;commerce, marketing, vente/grande distribution et petits commerces
parfumeur / parfumeuse;http://www.onisep.fr/http/redirection/metier/identifiant/100274;Les métiers de la mode et du luxe;Parcours;2019;9782273014564;J : Transformation des matériaux, procédés (biologie, chimie, physique);H1505;Intervention technique en formulation et analyse sensorielle;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1505;sciences/chimie
danseur / danseuse;http://www.onisep.fr/http/redirection/metier/identifiant/100294;;Fiches métiers / onisep.fr;;;V : Arts, spectacle, audiovisuel;L1201;Danse;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1201;"arts, culture, artisanat/arts du spectacle ; santé - social - sport/sport"
administrateur / administratrice judiciaire;http://www.onisep.fr/http/redirection/metier/identifiant/100304;Les métiers du droit;Parcours;2016;9782273012843;W : Droit, enseignement, recherche en sciences humaines;K1901;Aide et médiation judiciaire;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1901;"économie - droit - politique/activité judiciaire ; gestion des entreprises, comptabilité/comptabilité"
staffeur-ornemaniste / staffeuse-ornemaniste;http://www.onisep.fr/http/redirection/metier/identifiant/100334;;Fiches métiers / onisep.fr;;;C : Bâtiment;F1601;Application et décoration en plâtre, stuc et staff;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1601;"arts, culture, artisanat/artisanat d'art ; construction - architecture - travaux publics/génie civil, construction (généralités)"
chercheur / chercheuse en chimie;http://www.onisep.fr/http/redirection/metier/identifiant/100341;Les métiers de la chimie;Parcours;2016;9782273012867;J : Transformation des matériaux, procédés (biologie, chimie, physique);K2402;Recherche en sciences de l'univers, de la matière et du vivant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"matières premières, fabrication, industries/matériaux ; matières premières, fabrication, industries/plasturgie ; santé - social - sport/santé (généralités) ; sciences/chimie"
testeur / testeuse;http://www.onisep.fr/http/redirection/metier/identifiant/100365;Les métiers du jeu vidéo;Parcours;2019;9782273014502;P : Gestion et traitement de l'information (informatique, statistique, documentation);M1805;Études et développement informatique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"information-communication, audiovisuel/multimédia ; informatique, internet/développement - programmation -  logiciel ; informatique, internet/informatique de gestion ; informatique, internet/systèmes et réseaux"
ingénieur / ingénieure calcul;http://www.onisep.fr/http/redirection/metier/identifiant/100376;;Fiches métiers / onisep.fr;;;F : Mécanique;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"informatique, internet/informatique industrielle et technologique ; informatique, internet/informatique pour la recherche ; matières premières, fabrication, industries/études et développement ; sciences/mathématiques ; sciences/physique"
attaché territorial / attachée territoriale;http://www.onisep.fr/http/redirection/metier/identifiant/100386;;Fiches métiers / onisep.fr;;;Q : Commerce, gestion, finances;K1404;Mise en oeuvre et pilotage de la politique des pouvoirs publics;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1404;"économie - droit - politique/droit public ; économie - droit - politique/sciences économiques ; environnement - énergies - propreté/urbanisme"
secrétaire administratif / administrative;http://www.onisep.fr/http/redirection/metier/identifiant/100398;;Fiches métiers / onisep.fr;;;Q : Commerce, gestion, finances;M1607;Secrétariat;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1607;gestion des entreprises, comptabilité/secrétariat
technicien / technicienne de la circulation ferroviaire SNCF;http://www.onisep.fr/http/redirection/metier/identifiant/100416;Les métiers du ferroviaire;Zoom sur les métiers;2017;9782273013598;O : Transport, logistique;N4401;Circulation du réseau ferré;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N4401;logistique - transport/transport
développeur / développeuse économique;http://www.onisep.fr/http/redirection/metier/identifiant/100448;Les métiers du social;Parcours;2019;9782273014571;Q : Commerce, gestion, finances;K1802;Développement local;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1802;environnement - énergies - propreté/aménagement du territoire
moniteur / monitrice d'activités équestres;http://www.onisep.fr/http/redirection/metier/identifiant/100459;Les métiers du sport;Parcours;2017;9782273013321;S : Hôtellerie, tourisme, loisirs;G1204;Éducation en activités sportives;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1204;santé - social - sport/sport
technicien / technicienne paysagiste;http://www.onisep.fr/http/redirection/metier/identifiant/100494;Les métiers du paysage;Zoom sur les métiers;2018;9782273014397;T : Environnement, nettoyage, sécurité;A1203;Aménagement et entretien des espaces verts;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1203;environnement - énergies - propreté/aménagement paysager
élagueur / élagueuse;http://www.onisep.fr/http/redirection/metier/identifiant/100505;Les métiers du paysage;Zoom sur les métiers;2018;9782273014397;A : Agriculture;A1201;Bûcheronnage et élagage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1201;environnement - énergies - propreté/aménagement paysager
économiste de la construction;http://www.onisep.fr/http/redirection/metier/identifiant/10015;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1108;Métré de la construction;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1108;"construction - architecture - travaux publics/bureau d'études BTP ; construction - architecture - travaux publics/génie civil, construction (généralités)"
plombier / plombière;http://www.onisep.fr/http/redirection/metier/identifiant/10027;Les métiers du bâtiment et des travaux publics;Parcours;2019;9782273014540;C : Bâtiment;F1603;Installation d'équipements sanitaires et thermiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=F1603;construction - architecture - travaux publics/équipement technique
