libellé métier;lien site onisep.fr;nom publication;collection;année;gencod;GFE;code ROME;libellé ROME;lien ROME;domaine/sous-domaine ONISEP
militaire technicien / technicienne de l'air (MTA);http://www.onisep.fr/http/redirection/metier/identifiant/100393;Les métiers de la défense;Parcours;2016;9782273012362;T : Environnement, nettoyage, sécurité;K1701;Personnel de la Défense;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1701;"armée, sécurité/défense publique ; armée, sécurité/sécurité prévention ; électricité - électronique - robotique/électrotechnique ; logistique - transport/transport ; mécanique/aéronautique"
chef de projet éolien;http://www.onisep.fr/http/redirection/metier/identifiant/100402;Les métiers de l'énergie;Parcours;2016;9782273012812;H : Electricité, énergie, électronique;;;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=;environnement - énergies - propreté/énergies
ingénieur pétrolier / ingénieure pétrolière;http://www.onisep.fr/http/redirection/metier/identifiant/100410;Les métiers de l'énergie;Parcours;2016;9782273012812;H : Electricité, énergie, électronique;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1302;environnement - énergies - propreté/énergies
agent / agente de sûreté ferroviaire;http://www.onisep.fr/http/redirection/metier/identifiant/100414;Les métiers du ferroviaire;Zoom sur les métiers;2017;9782273013598;O : Transport, logistique;K2503;Sécurité et surveillance privées;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2503;armée, sécurité/sécurité prévention
chef de mission humanitaire;http://www.onisep.fr/http/redirection/metier/identifiant/100444;;Fiches métiers / onisep.fr;;;R : Santé, social, soins personnels;N1301;Conception et organisation de la chaîne logistique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1301;santé - social - sport/travail social
enseignant / enseignante humanitaire;http://www.onisep.fr/http/redirection/metier/identifiant/100451;;Fiches métiers / onisep.fr;;;W : Droit, enseignement, recherche en sciences humaines;K2107;Enseignement général du second degré;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2107;"lettres, langues - enseignement/enseignement ; lettres, langues - enseignement/langues"
ingénieur / ingénieure textile;http://www.onisep.fr/http/redirection/metier/identifiant/100455;Les métiers de la mode et du luxe;Parcours;2019;9782273014564;L : Textile, habillement, cuir;H1206;Management et ingénierie études, recherche et développement industriel;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H1206;matières premières, fabrication, industries/textile - habillement
clerc d'huissier;http://www.onisep.fr/http/redirection/metier/identifiant/100468;Les métiers du droit;Parcours;2016;9782273012843;W : Droit, enseignement, recherche en sciences humaines;K1902;Collaboration juridique;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1902;économie - droit - politique/activité judiciaire
iconographe;http://www.onisep.fr/http/redirection/metier/identifiant/100480;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;P : Gestion et traitement de l'information (informatique, statistique, documentation);K1601;Gestion de l'information et de la documentation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;"information-communication, audiovisuel/audiovisuel ; information-communication, audiovisuel/bibliothèque - documentation ; information-communication, audiovisuel/industries graphiques ; information-communication, audiovisuel/technologies de l'information"
auteur-compositeur interprète / auteure-compositrice interprète;http://www.onisep.fr/http/redirection/metier/identifiant/100499;;Fiches métiers / onisep.fr;;;V : Arts, spectacle, audiovisuel;L1202;Musique et chant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1202;arts, culture, artisanat/arts du spectacle
chef / cheffe de fabrication des industries graphiques;http://www.onisep.fr/http/redirection/metier/identifiant/10005;;Fiches métiers / onisep.fr;;;N : Techniques graphiques, impression;E1303;Encadrement des industries graphiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1303;information-communication, audiovisuel/industries graphiques
chargé / chargée d'études économiques;http://www.onisep.fr/http/redirection/metier/identifiant/10036;;Fiches métiers / onisep.fr;;;Q : Commerce, gestion, finances;M1403;Études et prospectives socio-économiques;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403;"économie - droit - politique/sciences économiques ; sciences/mathématiques"
administrateur / administratrice de biens;http://www.onisep.fr/http/redirection/metier/identifiant/10082;Les métiers du droit;Parcours;2016;9782273012843;Q : Commerce, gestion, finances;C1501;Gérance immobilière;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=C1501;banque - assurances - immobilier/immobilier
déclarant / déclarante en douane;http://www.onisep.fr/http/redirection/metier/identifiant/10112;Les métiers du transport et de la logistique;Parcours;2019;9782273014533;O : Transport, logistique;N1202;Gestion des opérations de circulation internationale des marchandises;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=N1202;logistique - transport/transport
horticulteur / horticultrice;http://www.onisep.fr/http/redirection/metier/identifiant/10125;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1414;Horticulture et maraîchage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1414;"agriculture, animaux/cultures ; commerce, marketing, vente/grande distribution et petits commerces"
agriculteur / agricultrice;http://www.onisep.fr/http/redirection/metier/identifiant/10128;Les métiers de l'agriculture et de la forêt;Parcours;2017;9782273013307;A : Agriculture;A1416;Polyculture, élevage;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=A1416;"agriculture, animaux/agriculture (généralités) ; agriculture, animaux/cultures ; agriculture, animaux/élevage - aquaculture"
directeur / directrice de restaurant;http://www.onisep.fr/http/redirection/metier/identifiant/10151;Les métiers de l'hôtellerie et de la restauration;Parcours;2018;9782273013895;S : Hôtellerie, tourisme, loisirs;G1402;Management d'hôtel-restaurant;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=G1402;"gestion des entreprises, comptabilité/administration de l'entreprise ; hôtellerie - restauration - tourisme/hôtellerie ; hôtellerie - restauration - tourisme/restauration ; hôtellerie - restauration - tourisme/tourisme"
maquettiste;http://www.onisep.fr/http/redirection/metier/identifiant/10166;Les métiers du design;Parcours;2019;9782273014595;U : Communication, médias;E1205;Réalisation de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1205;information-communication, audiovisuel/industries graphiques
ingénieur / ingénieure du son;http://www.onisep.fr/http/redirection/metier/identifiant/10179;Les études d'art;Dossiers;2018;9782273014052;U : Communication, médias;L1508;Prise de son et sonorisation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=L1508;"arts, culture, artisanat/arts du spectacle ; information-communication, audiovisuel/audiovisuel"
directeur / directrice artistique;http://www.onisep.fr/http/redirection/metier/identifiant/10183;Les métiers du livre;Parcours;2017;9782273013260;U : Communication, médias;E1104;Conception de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques ; information-communication, audiovisuel/journalisme - édition - publicité"
concepteur-rédacteur / conceptrice-rédactrice;http://www.onisep.fr/http/redirection/metier/identifiant/10184;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1104;Conception de contenus multimédias;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104;information-communication, audiovisuel/journalisme - édition - publicité
archiviste;http://www.onisep.fr/http/redirection/metier/identifiant/10188;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;P : Gestion et traitement de l'information (informatique, statistique, documentation);K1601;Gestion de l'information et de la documentation;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1601;information-communication, audiovisuel/bibliothèque - documentation
reporter-photographe / reportrice-photographe;http://www.onisep.fr/http/redirection/metier/identifiant/10199;Les métiers de l'information et de la communication;Parcours;2018;9782273013901;U : Communication, médias;E1106;Journalisme et information média;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1106;information-communication, audiovisuel/audiovisuel
médecin spécialiste;http://www.onisep.fr/http/redirection/metier/identifiant/10217;Les métiers du médical;Parcours;2019;9782273014519;R : Santé, social, soins personnels;J1102;Médecine généraliste et spécialisée;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1102;"santé - social - sport/médical ; santé - social - sport/santé (généralités)"
pharmacien / pharmacienne dans l'industrie;http://www.onisep.fr/http/redirection/metier/identifiant/10220;Les métiers du médical;Parcours;2019;9782273014519;J : Transformation des matériaux, procédés (biologie, chimie, physique);H2502;Management et ingénierie de production;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=H2502;santé - social - sport/santé (généralités)
psychomotricien / psychomotricienne;http://www.onisep.fr/http/redirection/metier/identifiant/10231;Les métiers du paramédical;Parcours;2017;9782273013314;R : Santé, social, soins personnels;J1412;Rééducation en psychomotricité;http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=J1412;santé - social - sport/paramédical
